
Nov21 14-00-38: Silhouette Score (subsample): 6_0_4_0_1_3_6_0_1_0_7_1 0.3805, sample size 402, K_e 2
Nov21 14-00-39: Silhouette Score (subsample): 6_0_4_0_1_3_6_1_1_0_0_1 0.2729, sample size 2121, K_e 7
Nov21 14-00-40: Silhouette Score (subsample): 6_0_4_0_1_4_6_0_1_0_0_0 0.2701, sample size 1782, K_e 7
Nov21 14-00-40: Silhouette Score (subsample): 6_0_4_0_1_4_6_0_1_0_8_0 0.0000, sample size 362, K_e 1
Nov21 14-00-41: Silhouette Score (subsample): 7_0_3_1_1_2_6_2_3_0_10_0 0.1934, sample size 11021, K_e 43
Nov21 14-00-41: Silhouette Score (subsample): 8_0_3_0_0_1_0_1_0_0_0_0 0.2191, sample size 9677, K_e 37
Nov21 14-00-42: Silhouette Score (subsample): 8_0_3_0_1_2_6_1_1_0_8_0 0.4174, sample size 881, K_e 3
Nov21 14-00-42: Silhouette Score (subsample): 8_0_3_1_1_2_6_2_1_0_10_0 0.4057, sample size 746, K_e 3
Nov21 14-00-43: Silhouette Score (subsample): 6_0_3_0_0_3_0_1_0_0_0_0 0.4773, sample size 1227, K_e 5
Nov21 14-00-43: Silhouette Score (subsample): 6_0_3_1_1_2_5_2_4_1_10_1 0.2711, sample size 5316, K_e 21
Nov21 14-00-44: Silhouette Score (subsample): 6_0_3_1_1_3_5_3_4_0_10_0 0.2159, sample size 4112, K_e 16
Nov21 14-00-44: Silhouette Score (subsample): 7_0_3_0_0_1_0_0_0_0_17_1 0.5698, sample size 1486, K_e 6
Nov21 14-00-45: Silhouette Score (subsample): 7_0_3_1_1_2_5_2_1_0_10_1 0.2405, sample size 3917, K_e 17
Nov21 14-00-46: Silhouette Score (subsample): 7_0_3_1_1_2_5_2_4_0_10_0 0.2698, sample size 3775, K_e 15
Nov21 14-00-46: Silhouette Score (subsample): 7_0_3_1_1_3_5_3_4_0_10_0 0.3930, sample size 620, K_e 3
Nov21 14-00-47: Silhouette Score (subsample): 7_0_3_0_0_2_0_2_0_0_1_1 0.2368, sample size 6914, K_e 28
Nov21 14-00-47: Silhouette Score (subsample): 7_0_3_0_0_3_0_1_0_0_2_0 0.3702, sample size 793, K_e 4
Nov21 14-00-48: Silhouette Score (subsample): 6_0_4_0_1_2_5_0_3_0_0_2 0.2075, sample size 8640, K_e 32
Nov21 14-00-48: Silhouette Score (subsample): 6_0_4_0_1_2_6_0_4_0_8_2 0.4508, sample size 2192, K_e 9
Nov21 14-00-49: Silhouette Score (subsample): 7_0_3_0_1_3_6_1_4_0_1_0 0.4983, sample size 1049, K_e 4
Nov21 14-00-49: Silhouette Score (subsample): 6_0_3_0_1_3_6_0_3_0_2_0 0.4166, sample size 401, K_e 2
Nov21 14-00-50: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_3_0_8_0 0.2314, sample size 5842, K_e 24
Nov21 14-00-51: Silhouette Score (subsample): 8_0_3_0_1_2_6_1_3_0_8_0 0.3841, sample size 362, K_e 2
Nov21 14-00-51: Silhouette Score (subsample): 6_0_3_1_1_3_5_2_4_0_10_0 0.2225, sample size 2570, K_e 10
Nov21 14-00-52: Silhouette Score (subsample): 6_0_4_0_0_2_0_0_0_0_8_2 0.2480, sample size 10703, K_e 45
Nov21 14-00-52: Silhouette Score (subsample): 6_0_4_0_1_2_5_0_5_0_0_2 0.3488, sample size 1258, K_e 5
Nov21 14-00-53: Silhouette Score (subsample): 6_0_4_0_1_3_3_0_3_0_0_1 0.3066, sample size 946, K_e 4
Nov21 14-00-53: Silhouette Score (subsample): 7_0_4_0_1_3_6_0_2_0_1_0 0.3178, sample size 5542, K_e 23
Nov21 14-00-54: Silhouette Score (subsample): 8_0_3_1_1_2_5_2_4_0_10_0 0.3155, sample size 739, K_e 3
Nov21 14-00-54: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_4_0_6_0 0.2719, sample size 1363, K_e 6
Nov21 14-00-55: Silhouette Score (subsample): 7_0_3_1_1_3_5_2_2_0_10_0 0.2093, sample size 4291, K_e 18
Nov21 14-00-55: Silhouette Score (subsample): 6_0_4_0_0_3_0_2_0_0_0_1 0.3157, sample size 1014, K_e 4
Nov21 14-00-56: Silhouette Score (subsample): 6_0_4_0_1_2_3_0_4_0_0_2 0.3760, sample size 2430, K_e 10
Nov21 14-00-57: Silhouette Score (subsample): 6_0_4_0_1_2_8_0_1_0_0_2 0.3311, sample size 1897, K_e 8
Nov21 14-00-57: Silhouette Score (subsample): 6_0_4_0_1_2_8_1_1_0_0_2 0.0000, sample size 382, K_e 1
Nov21 14-00-58: Silhouette Score (subsample): 6_0_4_0_1_3_3_0_4_0_0_1 0.4981, sample size 566, K_e 2
Nov21 14-00-58: Silhouette Score (subsample): 6_0_4_0_1_3_3_0_1_0_0_1 0.3186, sample size 869, K_e 3
Nov21 14-00-59: Silhouette Score (subsample): 6_0_4_0_1_4_5_0_1_0_6_0 0.4348, sample size 520, K_e 2
Nov21 14-00-59: Silhouette Score (subsample): 6_0_3_1_1_3_5_2_2_0_6_0 0.2286, sample size 2724, K_e 11
Nov21 14-01-00: Silhouette Score (subsample): 6_0_4_0_0_2_0_1_0_0_7_2 0.5692, sample size 649, K_e 3
Nov21 14-01-00: Silhouette Score (subsample): 6_0_4_0_0_3_0_0_0_0_6_1 0.2266, sample size 9499, K_e 39
Nov21 14-01-01: Silhouette Score (subsample): 6_0_4_0_1_2_5_0_2_0_0_2 0.2483, sample size 10495, K_e 42
Nov21 14-01-01: Silhouette Score (subsample): 6_0_4_0_1_2_5_1_2_0_0_2 0.3317, sample size 1117, K_e 3
Nov21 14-01-02: Silhouette Score (subsample): 7_0_3_0_1_3_5_1_2_0_1_0 0.3107, sample size 754, K_e 3
Nov21 14-01-03: Silhouette Score (subsample): 6_0_3_1_1_3_5_3_3_0_10_0 0.1802, sample size 11383, K_e 46
Nov21 14-01-03: Silhouette Score (subsample): 6_0_4_0_1_3_5_0_2_0_6_1 0.2281, sample size 1034, K_e 4
Nov21 14-01-04: Silhouette Score (subsample): 7_0_3_0_1_3_5_0_2_0_2_0 0.3075, sample size 1568, K_e 7
Nov21 14-01-04: Silhouette Score (subsample): 6_0_3_1_1_3_5_2_3_0_6_0 0.3120, sample size 1516, K_e 7
Nov21 14-01-05: Silhouette Score (subsample): 6_0_3_0_1_3_5_0_4_0_2_0 0.4038, sample size 374, K_e 2
Nov21 14-01-05: Silhouette Score (subsample): 6_0_3_0_1_3_7_0_1_0_2_0 0.5543, sample size 472, K_e 2
Nov21 14-01-06: Silhouette Score (subsample): 6_0_3_1_1_2_6_2_5_1_10_1 0.2164, sample size 13019, K_e 52
Nov21 14-01-06: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_5_0_10_0 0.2286, sample size 3715, K_e 15
Nov21 14-01-07: Silhouette Score (subsample): 6_0_4_0_1_2_5_0_4_0_0_2 0.3116, sample size 4959, K_e 20
Nov21 14-01-07: Silhouette Score (subsample): 6_0_4_0_1_3_5_1_4_0_0_1 0.0000, sample size 317, K_e 1
Nov21 14-01-08: Silhouette Score (subsample): 6_0_4_0_1_3_7_0_1_0_6_1 0.0000, sample size 270, K_e 1
Nov21 14-01-09: Silhouette Score (subsample): 7_0_3_0_1_2_5_0_4_0_2_1 0.0000, sample size 191, K_e 1
Nov21 14-01-09: Silhouette Score (subsample): 7_0_3_0_1_2_7_0_1_0_0_0 0.0000, sample size 144, K_e 1
Nov21 14-01-10: Silhouette Score (subsample): 7_0_3_0_1_3_5_0_4_0_2_0 0.5849, sample size 407, K_e 2
Nov21 14-01-10: Silhouette Score (subsample): 7_0_3_0_1_3_6_0_3_0_2_0 0.2469, sample size 1388, K_e 6
Nov21 14-01-11: Silhouette Score (subsample): 7_0_3_1_1_2_6_2_5_0_10_0 0.3368, sample size 721, K_e 3
Nov21 14-01-11: Silhouette Score (subsample): 6_0_4_0_0_3_0_0_0_0_0_1 0.2417, sample size 12408, K_e 51
Nov21 14-01-12: Silhouette Score (subsample): 7_0_3_0_1_3_6_1_1_0_1_0 0.2886, sample size 1732, K_e 7
Nov21 14-01-12: Silhouette Score (subsample): 7_0_4_0_1_3_6_0_1_0_1_0 0.3227, sample size 4814, K_e 19
Nov21 14-01-13: Silhouette Score (subsample): 16_0_3_1_1_2_5_2_1_0_10_0 0.1932, sample size 3083, K_e 13
Nov21 14-01-13: Silhouette Score (subsample): 6_0_2_0_0_1_0_0_0_0_0_1 0.0000, sample size 333, K_e 1
Nov21 14-01-14: Silhouette Score (subsample): 6_0_3_0_0_3_0_2_0_0_4_0 0.3550, sample size 868, K_e 4
Nov21 14-01-15: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_2_0_8_0 0.2015, sample size 8992, K_e 36
Nov21 14-01-15: Silhouette Score (subsample): 7_0_3_1_1_3_5_2_3_0_10_0 0.2817, sample size 2157, K_e 9
Nov21 14-01-16: Silhouette Score (subsample): 6_0_3_0_0_1_0_0_0_0_0_2 0.4895, sample size 1157, K_e 3
